,alpha,t_alpha,R2,n_obs,beta_MKT_excess,t_MKT_excess,beta_SMB_vw,t_SMB_vw,beta_HML_vw,t_HML_vw,beta_MOM,t_MOM
KKR,0.0022951734582918907,0.4036570014469911,0.5672864516474083,131.0,1.6347433172130392,12.206382909689564,0.4000710788463988,1.0226590719041093,0.06860405881059883,0.32146773731141215,0.10500730888174171,0.6177953716705611
KLAC,0.009059183108512728,1.5066925996785654,0.45904781176636633,131.0,1.374864895971057,9.708141166006723,-0.571319224302769,-1.3810557053865633,-0.042948956282860794,-0.19031754976144744,-0.20723708796832113,-1.15300514028949
KMB,-0.0036726087650420223,-0.867309155936934,0.17193167476474824,131.0,0.4458532233369131,4.470248001037947,0.40651228176469884,1.3953066923470068,-0.14981982885417872,-0.9426688743781273,0.024569924563072568,0.1941025464337843
KMI,-0.003419483742766541,-0.6175827368293462,0.38964076505724277,131.0,0.8262412003988123,6.335514566428452,0.3076965309377546,0.8077071838540836,0.5937248538491174,2.857001312013828,-0.23796658355247619,-1.4377346021729127
KR,0.0047867679562462705,0.7193481586662335,0.10155148748493237,131.0,0.539579446044577,3.442647853365324,0.31150279068046227,0.6803861181253771,-0.15009964793041572,-0.6009897164899364,0.06698871222468124,0.33676467931258647
L,0.002755660597520617,0.9638055540666227,0.6563714334826973,131.0,0.7957118560127947,11.815713975698122,0.05223316260120524,0.2655258218091066,0.8495289239191827,7.916486477399321,0.11299979503895169,1.3221158115404716
LDOS,0.0044866676321519494,0.681215900843763,0.25904916352348306,131.0,0.9755663170737657,6.288660034428489,0.1187031458213424,0.26195087160824415,0.4878305044097631,1.9734241459679387,0.30821660207148766,1.5654710885676508
LEN,-0.004011530734936221,-0.6925331734756446,0.5726006755841427,131.0,1.354024255481886,9.924241957354429,2.406981617595263,6.039485910542354,-0.41768717177034337,-1.9211983324218491,-0.02443234257730953,-0.14109892727974196
LH,-0.0012442167002637444,-0.2789490554541922,0.5042193142239004,131.0,1.0004130436284266,9.52244902634973,1.2661383088711167,4.125786584177352,-0.042178764341913665,-0.2519493995333364,0.1294560482322539,0.9709108617605096
LHX,0.004882875957528342,0.945519744274346,0.32665160647384106,131.0,0.8519852285058418,7.004343201437275,0.13823251393137256,0.3890468093143257,0.6271334970489798,3.2355306249031965,0.3064331978647114,1.9849924940953458
LII,0.0042780597865386795,0.9600016818093998,0.49278468567568356,131.0,0.9719274055835264,9.259753262989982,1.199678059541246,3.912790557558892,-0.3223471667664736,-1.9272568935950605,0.02767501411690658,0.20775005165963426
LIN,0.0020712389989183287,0.5769013477668398,0.5031704191709755,131.0,0.8859659531072684,10.476803864645154,0.2540049008288261,1.028277128564407,0.11592206049363372,0.8602566469804694,0.0031252786356714465,0.02911978921960024
LKQ,-0.0067136501252076436,-1.3315541816367007,0.5628333803432245,131.0,1.2387545707133067,10.430997712503476,1.4270168730856703,4.113637208501301,0.2381145964675052,1.2582784618431153,0.05769514478480556,0.382796140805258
LLY,0.016365844365870637,2.696588750222305,0.14639534128446063,131.0,0.459546381027458,3.2147417760664205,-0.5382140863173215,-1.2889263517699807,-0.18587815506577035,-0.8160095864972645,0.345473724491591,1.9042302883621827
LMT,0.006400100061964868,1.3701174722689653,0.28547922927695457,131.0,0.6653887516873962,6.0476540202941695,0.15002997394352144,0.4668160889673724,0.6269067140723286,3.5757287624098173,0.3364009803379178,2.4091089358966897
LOW,0.0003638533106994501,0.0777958560910442,0.5454555808319279,131.0,1.1135885086511843,10.108700190798018,1.6031573604147482,4.981992023712202,-0.35438982372102235,-2.0188403773132313,0.19657095260778001,1.4059750722877986
LRCX,0.011188412709805152,1.6512577440065592,0.4504167761697997,131.0,1.4155083319882633,8.869502523563865,-0.14602841867808747,-0.313242378504477,-0.24527403102380357,-0.9644696465620199,-0.5083961307983885,-2.5100176258458924
LULU,0.0052514680299988155,0.6133176010880304,0.24388728596384113,131.0,0.9438425644890469,4.679987610538543,1.2788488551585337,2.1708042474070814,-0.9705767605434023,-3.020126937036381,-0.043648789927833116,-0.17053167420705484
LVS,-0.007877144150199808,-1.0439571187437398,0.3380906467887419,131.0,1.1651872266046688,6.556167252174097,0.2729390091226431,0.5257462925523325,0.23507640073356098,0.8300676828875654,-0.38876085792651327,-1.7235526083694244
LYB,-0.003574851814905803,-0.6976343997960268,0.5591999112297481,131.0,1.047282155963322,8.677087743459076,0.43130323934888837,1.223345994303717,0.5835245242301016,3.034027846065484,-0.48318461440517047,-3.1543587529458357
LYV,0.0062061552939196895,0.9209986335118455,0.3735907644998725,131.0,1.2717803498056355,8.012884815701417,0.21131974655695182,0.4557987918144829,0.11936606861247166,0.4719628812823899,-0.08767461796502764,-0.43524959386507867
MA,0.006746328288750386,1.6331900602316585,0.5126573284648297,131.0,1.0725792415404236,11.023997009484903,-0.0696061761880477,-0.24491409219052232,0.0783047796054245,0.5050660013301002,-0.007717054781152108,-0.0624955343118767
MAR,0.007125845354483827,1.373443859512299,0.60805446778721,131.0,1.4312855926953743,11.71227499727447,0.10739596219604093,0.3008563716400262,0.5193641597033215,2.6670865031468467,-0.32453818862216094,-2.0925144800231887
MAS,-0.002521844786601501,-0.5359277024274347,0.5934259851144368,131.0,1.2220139617403858,11.025656630691692,1.7606251633455994,5.438153964391739,-0.35753661105352486,-2.024412353039708,0.041527884005609625,0.29522681496420594
MLM,0.0034526455785216705,0.5725437624436547,0.346928556172139,131.0,0.8782108517438517,6.182952777820893,1.5510966721328485,3.738456189259868,-0.19583549690118277,-0.8652442236988679,-0.05520111206839913,-0.30621937119903675
MMC,0.0036058665518204284,1.224272308051772,0.6032266694268131,131.0,0.8759401643658016,12.626508015760615,0.5467259460481156,2.697955624444467,0.0438442362026286,0.39661715148952054,0.0679399479202804,0.7716524349410683
MPC,0.00985400468992999,1.4332818982143833,0.5457532214350345,131.0,1.449784293522991,8.952878359044032,0.13684514508546525,0.2892977039921609,1.4800845225108257,5.735826083608315,-0.04152349281005638,-0.202041634891723
MTB,0.0038075357510412686,0.7945209298274787,0.5296037993200187,131.0,0.8354254938069958,7.401325741899453,0.6423949319512036,1.948319600106784,1.0441353725961342,5.80508745985528,0.014365683512931583,0.1002803386214058
MAA,-0.0022817686579315617,-0.5442456602645801,0.3973258362134081,131.0,0.6557103503802333,6.640118738361678,1.351477621200916,4.685208950057194,-0.35872157642647073,-2.279667301125222,-0.008669580202811857,-0.06917506534203251
MCD,0.003272081742219952,0.8999283367789846,0.3382024956867088,131.0,0.6548206099256012,7.646216039269509,0.15685298360121944,0.627008325933597,0.16485136113312146,1.2079999767656857,0.114541291815281,1.0538383635208461
MCHP,-0.0024906591907773337,-0.4192909025510939,0.536052313920774,131.0,1.3022315102015811,9.307429954368109,0.9568815158538924,2.3412944798248034,-0.25046889376607706,-1.1234287616828393,-0.6387916850795888,-3.5973983749152234
MCK,0.005850536747571851,0.9604203805991083,0.19256710811564481,131.0,0.7398349288097021,5.156332674413602,0.026977558262405624,0.06436726205922079,0.3915721324123584,1.71264771000444,0.18641870314475092,1.0237249393131405
MCO,0.0010869283685452243,0.3038892123130999,0.6799213397101862,131.0,1.2437740256375163,14.76373647525484,0.5724217041849706,2.326093635921578,-0.4476945689432366,-3.3349305304734758,-0.03268956910894237,-0.30573960540005335
MDLZ,-0.0001495788767999366,-0.03615251752957346,0.2739855713864997,131.0,0.659945525615814,6.771997801813594,-0.18010398803394775,-0.6326861803298086,0.1726952306302007,1.1120881867794354,0.08393776989748206,0.6786624946877027
MDT,-0.00432592190490285,-1.0247385328999834,0.3767367671881391,131.0,0.8032637305916797,8.078542093637951,0.5318794236403729,1.8312360228627345,0.13990499778488652,0.8829949652472835,0.25456563027442514,2.0172619882827685
MET,0.002736837323170394,0.6720097531825355,0.6670355214135906,131.0,1.0786537805175669,11.244731877156298,0.69603621646601,2.484020474590541,1.1582192379892182,7.577186429366597,0.17746234433485336,1.457675827135281
META,0.007848961862807423,1.1061983774564124,0.34338491402756965,131.0,1.0779299429992342,6.449882104544876,-0.6701366180595222,-1.3727166110199078,-0.8098680582231157,-3.0410648030286103,-0.47322489756588326,-2.2310871208839997
MGM,-0.00403720372156356,-0.5715391979082415,0.5893657065062841,131.0,1.9254210286987614,11.572615099325144,0.21523456019693005,0.44286779973940077,0.6723211235805109,2.535903474429109,-0.30714004461265165,-1.4545543189322636
MHK,-0.010402157855406595,-1.5766794371339155,0.5265977779583322,131.0,1.160243411086165,7.466370149633027,2.624270772574624,5.781297900605308,-0.1958176698233158,-0.7907923293526804,-0.4609214690302908,-2.3370878956849617
MKC,-0.0002079376253113227,-0.04384072084565855,0.21928948337156606,131.0,0.5298070365960604,4.742450107230092,0.7319898469837413,2.2430884798487787,-0.29862366608577706,-1.677488051291758,-0.04302231294447454,-0.30343558206786747
MNST,0.00215249099587165,0.3474515168491776,0.2936124957480647,131.0,0.8797981701444748,6.029431493490666,1.028901445890093,2.413922858744395,-0.42124167723101513,-1.8116521260518723,0.013494393964521534,0.07286758877937918
